student_id,grade_10_marks,interest_math,interest_bio,interest_econ,coding,drawing,sports,family_background,stream,profession
1,61,0,1,1,1,0,0,Teacher,Commerce,Business Analyst
2,74,0,1,1,1,0,0,Engineer,Commerce,Accountant
3,68,1,0,0,1,1,0,Engineer,Arts,Historian
4,66,1,1,1,0,0,0,Teacher,Commerce,Accountant
5,61,1,1,1,0,0,0,Business,Commerce,Business Analyst
6,99,1,0,1,0,1,1,Business,Commerce,Business Analyst
7,64,0,1,0,0,1,1,Artist,Arts,Psychologist
8,73,0,1,1,1,1,1,Doctor,Commerce,Business Analyst
9,50,1,1,0,1,1,0,Doctor,Arts,Journalist
10,74,1,0,0,1,0,0,Doctor,Science,Doctor
11,71,1,0,1,0,0,1,Teacher,Commerce,Accountant
12,95,0,1,1,0,0,0,Teacher,Commerce,CA
13,84,0,0,1,0,1,1,Teacher,Commerce,Accountant
14,56,1,0,1,0,0,0,Business,Commerce,Accountant
15,60,1,1,1,1,1,0,Business,Commerce,Accountant
16,66,0,0,1,0,0,1,Doctor,Commerce,CA
17,71,0,0,1,0,0,0,Business,Commerce,Banker
18,95,0,0,1,1,1,0,Doctor,Commerce,Business Analyst
19,75,0,1,0,1,0,0,Engineer,Commerce,Accountant
20,75,1,0,1,0,1,1,Doctor,Commerce,Banker
21,50,1,1,0,0,1,0,Artist,Arts,Historian
22,89,1,0,0,0,0,0,Business,Commerce,Banker
23,65,1,0,1,1,1,1,Teacher,Commerce,Business Analyst
24,92,1,1,0,0,0,0,Teacher,Science,Data Scientist
25,73,0,1,1,0,0,0,Business,Commerce,CA
26,58,0,0,1,1,1,1,Doctor,Commerce,Accountant
27,72,1,1,1,0,0,0,Business,Commerce,Business Analyst
28,63,1,0,0,1,1,0,Doctor,Arts,Historian
29,80,0,1,1,1,0,1,Business,Commerce,Banker
30,77,0,0,1,0,0,0,Doctor,Commerce,Banker
31,75,1,0,0,0,1,0,Artist,Arts,Historian
32,80,1,0,1,1,1,0,Artist,Commerce,Banker
33,92,1,0,1,0,1,1,Business,Commerce,CA
34,66,0,1,1,0,0,1,Teacher,Commerce,Accountant
35,50,0,0,0,1,1,0,Doctor,Arts,Designer
36,52,0,0,1,1,1,1,Business,Commerce,Business Analyst
37,89,0,0,1,1,1,0,Teacher,Commerce,Business Analyst
38,53,0,0,1,0,1,0,Business,Commerce,Accountant
39,91,1,0,1,0,0,1,Engineer,Commerce,Accountant
40,80,0,1,0,0,0,0,Teacher,Arts,Designer
41,68,0,0,0,1,0,0,Teacher,Arts,Historian
42,75,1,0,1,1,0,0,Teacher,Commerce,Business Analyst
43,71,1,0,0,0,0,0,Engineer,Arts,Journalist
44,53,0,0,0,0,0,1,Teacher,Arts,Historian
45,90,1,0,1,1,0,0,Doctor,Commerce,Banker
46,78,0,0,1,0,0,1,Artist,Commerce,Business Analyst
47,68,1,0,1,1,0,0,Teacher,Commerce,Banker
48,63,1,1,0,0,1,0,Doctor,Arts,Historian
49,61,0,0,1,0,0,0,Teacher,Commerce,Accountant
50,78,0,1,0,1,0,0,Artist,Commerce,Accountant
51,97,1,0,0,1,1,1,Doctor,Arts,Psychologist
52,59,0,0,0,0,0,1,Teacher,Arts,Psychologist
53,83,0,1,0,0,0,1,Artist,Arts,Psychologist
54,62,0,1,0,1,0,1,Doctor,Arts,Psychologist
55,52,0,1,0,1,0,1,Artist,Arts,Journalist
56,94,0,0,1,1,1,1,Engineer,Commerce,Business Analyst
57,56,0,0,0,1,0,1,Artist,Arts,Psychologist
58,64,1,1,1,0,0,0,Engineer,Commerce,Banker
59,54,1,1,1,1,0,1,Business,Commerce,Business Analyst
60,88,1,1,1,0,0,1,Engineer,Science,Doctor
61,69,1,0,0,0,1,0,Teacher,Arts,Journalist
62,75,0,1,1,0,1,1,Artist,Commerce,CA
63,61,0,1,0,0,1,0,Artist,Arts,Designer
64,75,0,1,0,1,1,1,Engineer,Arts,Journalist
65,63,0,0,1,0,1,1,Engineer,Commerce,Banker
66,58,0,1,0,1,0,0,Business,Commerce,Business Analyst
67,68,0,0,1,0,0,1,Artist,Commerce,CA
68,70,0,1,1,1,1,0,Business,Commerce,Accountant
69,58,0,0,0,1,0,1,Teacher,Arts,Journalist
70,69,1,0,1,0,1,0,Artist,Commerce,Business Analyst
71,74,1,1,1,1,0,0,Teacher,Commerce,CA
72,67,1,1,1,1,1,0,Business,Commerce,Banker
73,80,0,0,0,0,0,0,Artist,Commerce,Accountant
74,53,1,1,1,1,1,1,Teacher,Commerce,Business Analyst
75,84,0,1,0,0,0,0,Artist,Science,Doctor
76,61,0,1,1,1,0,1,Engineer,Commerce,Banker
77,71,1,0,1,1,1,1,Doctor,Commerce,Business Analyst
78,82,1,1,1,1,1,1,Doctor,Commerce,Business Analyst
79,76,1,0,0,1,0,1,Business,Commerce,Accountant
80,82,1,0,0,1,0,0,Doctor,Commerce,Banker
81,58,0,0,1,0,0,1,Engineer,Commerce,CA
82,65,1,0,0,0,0,1,Artist,Arts,Historian
83,55,0,0,0,0,1,1,Doctor,Arts,Psychologist
84,98,1,0,0,1,0,1,Artist,Arts,Designer
85,52,1,0,1,0,0,1,Doctor,Commerce,Accountant
86,68,1,1,0,0,0,0,Doctor,Arts,Psychologist
87,67,0,0,0,1,0,1,Doctor,Arts,Designer
88,96,1,0,0,1,0,0,Teacher,Science,Software Engineer
89,97,0,1,1,1,0,1,Doctor,Commerce,Banker
90,78,1,1,0,0,1,0,Doctor,Arts,Historian
